standardized_species,total_images,has_any_trait_label,has_any_mask_label
abalistes stellatus,8,False,True
abbottina rivularis,4,False,False
ablennes hians,2,False,True
abudefduf bengalensis,2,False,True
abudefduf notatus,1,False,True
abudefduf saxatilis,2,False,True
abudefduf whitleyi,1,False,True
acanthemblemaria castroi,1,False,True
acanthemblemaria greenfieldi,1,False,True
acanthemblemaria mangognatha,1,False,True
acanthemblemaria rivasi,1,False,True
acanthistius cinctus,1,False,True
acanthopagrus bifasciatus,6,False,True
acanthopagrus latus,8,False,True
acanthoplesiops echinatus,1,False,True
acanthoplesiops indicus,2,False,True
acanthopsoides delphax,6,False,False
acanthostracion quadricornis,9,False,True
acanthurus achilles,1,False,True
acanthurus albimento,2,False,True
acanthurus bariene,1,False,True
acanthurus blochii,2,False,True
acanthurus dussumieri,2,False,True
acanthurus japonicus,1,False,True
acanthurus lineatus,3,False,True
acanthurus maculiceps,1,False,True
acanthurus mata,2,False,True
acanthurus nigricans,1,False,True
acanthurus nigricauda,1,False,True
acanthurus nigroris,4,False,True
acanthurus polyzona,1,False,True
acanthurus pyroferus,3,False,True
acanthurus reversus,2,False,True
acanthurus tractus,5,False,False
acantopsis rungthipae,7,False,True
acentrogobius caninus,2,False,True
acestrocephalus anomalus,7,False,False
acheilognathus cyanostigma,1,False,True
acheilognathus rhombeus,1,False,True
acipenser fulvescens,5,False,False
acipenser oxyrinchus,6,False,True
acipenser ruthenus,6,False,False
acipenser transmontanus,1,False,True
acnodon senai,4,False,False
acreichthys tomentosus,1,False,True
acrocheilus alutaceus,4,False,False
acrochordonichthys chamaeleon,1,False,True
acrochordonichthys rugosus,1,False,True
acrossocheilus paradoxus,7,False,False
aethaloperca rogaa,20,False,True
aetomylaeus milvus,4,False,False
agonostomus monticola,6,False,False
agosia chrysogaster,6,False,False
ailia coila,4,False,False
akysis hendricksoni,1,False,True
albula forsteri,2,False,True
albula oligolepis,1,False,True
albula vulpes,12,False,True
alburnus chalcoides,1,False,True
alepes kleinii,1,False,True
alepes vari,1,False,True
alestes baremoze,13,False,True
alestes dentex,16,False,False
alestopetersius brichardi,4,False,False
alionematichthys piger,1,False,True
alionematichthys samoaensis,1,False,True
allenbatrachus reticulatus,1,False,True
alloblennius jugularis,1,False,True
alloblennius parvus,1,False,True
alloophorus robustus,1,False,True
alosa alosa,1,False,True
alosa caspia,2,False,True
